,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Cotton, Feed, Farm & Home, Vegetable Plants, Herbs & Flowers,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Gardening Supplies, Clothing,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Garden Supplies, Plants,,,,,,,,,,,,,,,,,,,,,,,
Feed, Farm and Home, Garden Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Petroleum, Other Products,,,,,,,,,,,,,,,,,,,,,,,
Feed, Fertilizer, Garden Supplies, Animal Health, Farm Supplies,,,,,,,,,,,,,,,,,,,,,,,,
Cottonseed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton Ginning and Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livestock Auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Seed, Chemicals, Feed, Petroleum, Tires, Hardware, Garden Center,,,,,,,,,,,,,,,,,,,,,
Livestock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planting Seeds, Feed, Seed, Agricultural Chemicals, Plants, Corn, Wheat, Milo, Oats,,,,,,,,,,,,,,,,,,,,
Fresh Vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Fertilizer, Seed, Agricultural Chemicals, Application,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Feed, Seed, Chemicals, Tires, Lawn and Garden, Plants, Animal Health Products ,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Feed, Corn, Tires, Chemicals, Grains,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Feed, Crops, Tires, Chemicals, Animal Health,,,,,,,,,,,,,,,,,,,,,,,
Cotton and Cottonseed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seed, Feed, Chemicals, Fertilizer Custom Application,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Hardware, Animal Health, Garden Supplies,,,,,,,,,,,,,,,,,,,,,,
Vegetable Seeds and Plants, Feed, Seed, Fertilizer, Cottonseed, Pet Supplies, Horse Tack, Corn, Wheat, Milo, Oats, Peanuts, Feed Manufacturing and Farm Supplies,,,,,,,,,,,,,,,,
Feed, Fertilizer, Agricultural Chemicals, Tires, Fertilizer Application,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Milo, Soybeans, Petroleum, Feed, Fertilizer, Ag Chemical, Tires, Fertilizer Application,,,,,,,,,,,,,,,,,,,
Fertilizer, Chemicals, Seed, Fuel, Tires, Consulting, Application,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Crop Protectants, Petroleum Products,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Fertilizer, Chemicals, Animal Health,,,,,,,,,,,,,,,,,,,,,,,,,
Grains, Feed, Seed, Fertilizer, Chemicals, Petroleum,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Milo, Soybeans, Cotton, Petroleum, Fuel, Fertilizer, Fertilizer Application, Chemical, Farm Hardware,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Hardware,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Lawn and Garden Supplies, Pet, Farm Supplies,,,,,,,,,,,,,,,,,,,,,,,
Gas, Oil, Propane, Diesel, Tires,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Farm Supply, John Deere, Hustler Turf Lawn Mowers,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Fertilizer, Agri Chemicals, Tires, Seed, Lube & Fuel, Farm Supply, Fertilizer - Chemical Application, Consulting Services, Tire & Battery Repair & Installation,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Animal Health, Farm Supplies,,,,,,,,,,,,,,,,,,,,,,,
Cotton, Cottonseed, Feed,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Feed, Seed, Fertilizer, Agricultural Chemicals,,,,,,,,,,,,,,,,,,,,,,,,
Rice, Rice Co-products, Soybeans, Wheat,,,,,,,,,,,,,,,,,,,,,,,,,
Milled Rice, Brown Rice, Parboiled Rice, Flavored Rice Mixes, Rice Flour, Rice Bran Oil, Defatted Rice Bran, Rough Rice, Soybean Meal, Soy Oil,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Animal Health, Chemicals, Fuel, Tires,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Ag Chemicals, Petroleum, Seed, TBA, Feed,,,,,,,,,,,,,,,,,,,,,,,
Medjool Dates,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cottonseed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton, Cottonseed,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planting Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk & Dairy Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winegrape Cooperative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricots,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almonds, Almond Products, and Snacks,,,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Seed, Chemicals, Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dry Beans (Blackeyes & Garbanzos),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw Lint Cotton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar Beets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peaches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk, Powder, Butter, and Cheese,,,,,,,,,,,,,,,,,,,,,,,,,
Freestone Peaches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Potatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Processed Tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail, Foodservice, and Industrial Quantities of Wild Rice  (dba Fall River Wild Rice),,,,,,,,,,,,,,,,,,,,,,,,,,
Almond Huller/Sheller,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almond Huller/Sheller ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Crop Protection, Consulting, Storage,,,,,,,,,,,,,,,,,,,,,,,,,
Orange, Lemon, Grapefruit, Avocado, Mango and Organic For All Varieties,,,,,,,,,,,,,,,,,,,,,,,,
Almond Harvest/Shelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Citrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton, Cottonseed, Seed,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrus Fruit and Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raisins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrugated Shipping Containers, Packinghouse and Grower Supplies ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat, Seed, Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,
Almond Hulls, Shells,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Citrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Potatoes, Almond Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Varieties of Citrus Except Lemons,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cottonseed and Byproduct Cotton Fiber,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beet Pulp, Beet Molasses, Raffinate and Betaine,,,,,,,,,,,,,,,,,,,,,,,,,,
Almond Hulling, Almond Shell,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartlett Pears, Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barley, Oats, Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,
Almond Hulls, Shells,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almond Hulls and Shells,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shell Eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Olives, Olive Oil, Specialty Olive Products,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Promotes the Rights of Individual Fishermen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Processed Fruits and Tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pistachios,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Clothing, Tack, Fencing, Gates, Chemicals, Vet Supplies, Sprinklers, Western Wear, Western Jewelry, Western & Work Wear,,,,,,,,,,,,,,,,,,,
Prunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raisins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cottonseed, Almonds, Hulls,,,,,,,,,,,,,,,,,,,,,,,,,,
Drying, Storage,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oranges, Grapefruit and Lemons Marketed by Progressive Produce,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edible Dry Beans,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almond Hulling, Shelling, Drying ,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfalfa Hay, Alfalfa Cubes, Grain Hay, Straw, Grass Hay, Sudan, Corn Stover,,,,,,,,,,,,,,,,,,,,,,
Ag and Home Supplies (Chemicals, Clothing, Archery, Garden and Landscape, Grower Supplies, Feed, Fencing, Tack, Fertilizer, Hardware, Pump Materials, Irrigation, Seed, Sprayers),,,,,,,,,,,,,,,
Lemons,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Crop Care, Seed to Growers and Producers, Feed, Veterinary Supplies, Baling Twine, Fencing, Shop Service, Tractors, Tillage, Tires,,,,,,,,,,,,,,,,,,
Fertilizer, Agricultural Pesticides, Irrigation Supplies, Hardware,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Citrus Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raisins, Specialty Dried Fruits, Concentrates, and Pastes,,,,,,,,,,,,,,,,,,,,,,,,,
Dried Fruits, Prune/Plum Juice,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wool, Sheep,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage, Drying, Cleaning Beans and Rice ,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dry Prunes, Walnut Huller, Dryer,,,,,,,,,,,,,,,,,,,,,,,,,,
Fig Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walnuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cottonseed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walnut and Almond Hulls,,,,,,,,,,,,,,,,,,,,,,,,,,,,
