state,state fips,county,county code,commodity,data item,domain category,value
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - OPERATIONS WITH AREA GROWN,,924
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - OPERATIONS WITH AREA GROWN,AREA GROWN: (0.1 TO 0.9 ACRES),469
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - OPERATIONS WITH AREA GROWN,AREA GROWN: (1.0 TO 4.9 ACRES),321
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - OPERATIONS WITH AREA GROWN,AREA GROWN: (5.0 TO 14.9 ACRES),108
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - OPERATIONS WITH AREA GROWN,AREA GROWN: (15.0 TO 24.9 ACRES),18
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - OPERATIONS WITH AREA GROWN,AREA GROWN: (25.0 TO 49.9 ACRES),7
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - OPERATIONS WITH AREA GROWN,AREA GROWN: (50.0 TO 99.9 ACRES),1
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - ACRES GROWN,,"2,170"
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - ACRES GROWN,AREA GROWN: (0.1 TO 0.9 ACRES),(D)
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - ACRES GROWN,AREA GROWN: (1.0 TO 4.9 ACRES),664
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - ACRES GROWN,AREA GROWN: (5.0 TO 14.9 ACRES),794
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - ACRES GROWN,AREA GROWN: (15.0 TO 24.9 ACRES),313
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - ACRES GROWN,AREA GROWN: (25.0 TO 49.9 ACRES),230
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - ACRES GROWN,AREA GROWN: (50.0 TO 99.9 ACRES),(D)
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - OPERATIONS WITH AREA BEARING,,645
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - OPERATIONS WITH AREA BEARING,AREA GROWN: (0.1 TO 0.9 ACRES),308
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - OPERATIONS WITH AREA BEARING,AREA GROWN: (1.0 TO 4.9 ACRES),228
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - OPERATIONS WITH AREA BEARING,AREA GROWN: (5.0 TO 14.9 ACRES),88
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - OPERATIONS WITH AREA BEARING,AREA GROWN: (15.0 TO 24.9 ACRES),13
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - OPERATIONS WITH AREA BEARING,AREA GROWN: (25.0 TO 49.9 ACRES),7
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - OPERATIONS WITH AREA BEARING,AREA GROWN: (50.0 TO 99.9 ACRES),1
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - ACRES BEARING,,"1,402"
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - ACRES BEARING,AREA GROWN: (0.1 TO 0.9 ACRES),(D)
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - ACRES BEARING,AREA GROWN: (1.0 TO 4.9 ACRES),430
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - ACRES BEARING,AREA GROWN: (5.0 TO 14.9 ACRES),521
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - ACRES BEARING,AREA GROWN: (15.0 TO 24.9 ACRES),134
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - ACRES BEARING,AREA GROWN: (25.0 TO 49.9 ACRES),192
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - ACRES BEARING,AREA GROWN: (50.0 TO 99.9 ACRES),(D)
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - OPERATIONS WITH AREA NON-BEARING,,422
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - OPERATIONS WITH AREA NON-BEARING,AREA GROWN: (0.1 TO 0.9 ACRES),208
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - OPERATIONS WITH AREA NON-BEARING,AREA GROWN: (1.0 TO 4.9 ACRES),146
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - OPERATIONS WITH AREA NON-BEARING,AREA GROWN: (5.0 TO 14.9 ACRES),52
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - OPERATIONS WITH AREA NON-BEARING,AREA GROWN: (15.0 TO 24.9 ACRES),13
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - OPERATIONS WITH AREA NON-BEARING,AREA GROWN: (25.0 TO 49.9 ACRES),3
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - ACRES NON-BEARING,,768
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - ACRES NON-BEARING,AREA GROWN: (0.1 TO 0.9 ACRES),44
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - ACRES NON-BEARING,AREA GROWN: (1.0 TO 4.9 ACRES),234
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - ACRES NON-BEARING,AREA GROWN: (5.0 TO 14.9 ACRES),273
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - ACRES NON-BEARING,AREA GROWN: (15.0 TO 24.9 ACRES),179
US TOTAL,99,,,ARONIA BERRIES,ARONIA BERRIES - ACRES NON-BEARING,AREA GROWN: (25.0 TO 49.9 ACRES),39
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA GROWN",,"9,006"
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA GROWN",AREA GROWN: (0.1 TO 0.9 ACRES),"6,562"
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA GROWN",AREA GROWN: (1.0 TO 4.9 ACRES),"1,949"
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA GROWN",AREA GROWN: (5.0 TO 14.9 ACRES),308
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA GROWN",AREA GROWN: (15.0 TO 24.9 ACRES),80
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA GROWN",AREA GROWN: (25.0 TO 49.9 ACRES),53
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA GROWN",AREA GROWN: (50.0 TO 99.9 ACRES),37
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA GROWN",AREA GROWN: (100 OR MORE ACRES),17
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES GROWN",,"16,671"
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES GROWN",AREA GROWN: (0.1 TO 0.9 ACRES),"1,644"
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES GROWN",AREA GROWN: (1.0 TO 4.9 ACRES),"3,141"
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES GROWN",AREA GROWN: (5.0 TO 14.9 ACRES),"2,337"
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES GROWN",AREA GROWN: (15.0 TO 24.9 ACRES),"1,499"
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES GROWN",AREA GROWN: (25.0 TO 49.9 ACRES),"1,840"
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES GROWN",AREA GROWN: (50.0 TO 99.9 ACRES),"2,781"
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES GROWN",AREA GROWN: (100 OR MORE ACRES),"3,430"
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA BEARING",,"7,562"
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA BEARING",AREA GROWN: (0.1 TO 0.9 ACRES),"5,350"
