state,state fips,county,county code,commodity,data item,domain category,value
US TOTAL,99,,,NON-CITRUS TOTALS,"NON-CITRUS TOTALS, (EXCL BERRIES) - OPERATIONS WITH AREA BEARING & NON-BEARING",,"74,907"
US TOTAL,99,,,NON-CITRUS TOTALS,"NON-CITRUS TOTALS, (EXCL BERRIES) - ACRES BEARING & NON-BEARING",,"2,160,940"
US TOTAL,99,,,NON-CITRUS TOTALS,"NON-CITRUS TOTALS, (EXCL BERRIES) - OPERATIONS WITH AREA BEARING",,"63,061"
US TOTAL,99,,,NON-CITRUS TOTALS,"NON-CITRUS TOTALS, (EXCL BERRIES) - ACRES BEARING",,"1,938,770"
US TOTAL,99,,,NON-CITRUS TOTALS,"NON-CITRUS TOTALS, (EXCL BERRIES) - OPERATIONS WITH AREA NON-BEARING",,"31,734"
US TOTAL,99,,,NON-CITRUS TOTALS,"NON-CITRUS TOTALS, (EXCL BERRIES) - ACRES NON-BEARING",,"222,170"
US TOTAL,99,,,APPLES,APPLES - OPERATIONS WITH AREA BEARING & NON-BEARING,,"26,408"
US TOTAL,99,,,APPLES,APPLES - OPERATIONS WITH AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (0.1 TO 0.9 ACRES),"12,973"
US TOTAL,99,,,APPLES,APPLES - OPERATIONS WITH AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (1.0 TO 4.9 ACRES),"8,124"
US TOTAL,99,,,APPLES,APPLES - OPERATIONS WITH AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (5.0 TO 14.9 ACRES),"2,495"
US TOTAL,99,,,APPLES,APPLES - OPERATIONS WITH AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (15.0 TO 24.9 ACRES),710
US TOTAL,99,,,APPLES,APPLES - OPERATIONS WITH AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (25.0 TO 49.9 ACRES),775
US TOTAL,99,,,APPLES,APPLES - OPERATIONS WITH AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (50.0 TO 99.9 ACRES),535
US TOTAL,99,,,APPLES,APPLES - OPERATIONS WITH AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (100 OR MORE ACRES),796
US TOTAL,99,,,APPLES,APPLES - OPERATIONS WITH AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (100 TO 249 ACRES),527
US TOTAL,99,,,APPLES,APPLES - OPERATIONS WITH AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (250 TO 499 ACRES),151
US TOTAL,99,,,APPLES,APPLES - OPERATIONS WITH AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (500 TO 749 ACRES),62
US TOTAL,99,,,APPLES,APPLES - OPERATIONS WITH AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (750 TO 999 ACRES),23
US TOTAL,99,,,APPLES,APPLES - OPERATIONS WITH AREA BEARING & NON-BEARING,"AREA BEARING & NON-BEARING: (1,000 OR MORE ACRES)",33
US TOTAL,99,,,APPLES,APPLES - ACRES BEARING & NON-BEARING,,"381,718"
US TOTAL,99,,,APPLES,APPLES - ACRES BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (0.1 TO 0.9 ACRES),"4,115"
US TOTAL,99,,,APPLES,APPLES - ACRES BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (1.0 TO 4.9 ACRES),"15,586"
